=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,conv_status,read_status\n"
~"366,1442,740,1,-3424,-7440,-32528,113,0\n"
~"367,1444,742,1,-3360,-7568,-32528,177,0\n"
~"368,1446,744,1,-3504,-7440,-32528,241,0\n"
~"369,1449,747,1,-3360,-7552,-32528,81,0\n"
~"370,1451,749,1,-3392,-7328,-32528,177,0\n"
~"371,1453,751,1,-3376,-7456,-32528,209,0\n"
~"372,1455,753,1,-3536,-7472,-32528,17,0\n"
~"373,1457,755,1,-3520,-7424,-32528,81,0\n"
~"374,1459,757,1,-3648,-7488,-32528,145,0\n"
~"375,1461,759,1,-3344,-7408,-32528,209,0\n"
~"376,1463,761,1,-3456,-7360,-32528,17,0\n"
~"377,1465,763,1,-3424,-7392,-32528,81,0\n"
~"378,1467,765,1,-3392,-7360,-32528,145,0\n"
~"379,1469,767,1,-12464,-23792,-32528,209,0\n"
~"380,1471,769,1,-12096,-24144,-32528,49,0\n"
~"381,1473,771,1,-11984,-24288,-32528,177,0\n"
~"382,1475,773,1,-12096,-24144,-32528,177,0\n"
~"383,1477,775,1,-12096,-24176,-32528,241,0\n"
~"384,1479,777,1,-12064,-22384,-32576,49,0\n"
~"385,1481,779,1,-2592,-7488,-32528,113,0\n"
~"386,1483,781,1,-2672,-7664,-32528,177,0\n"
~"387,1485,783,1,-2576,-7696,-32528,241,0\n"
~"388,1487,785,1,-2352,-7744,-32528,49,0\n"
~"389,1489,787,1,-2480,-7680,-32528,113,0\n"
~"390,1491,789,1,-2480,-7552,-32528,177,0\n"
~"391,1493,791,1,-2608,-7680,-32528,241,0\n"
~"392,1495,793,1,-2416,-7712,-32528,81,0\n"
~"393,1497,795,1,-2496,-7824,-32528,145,0\n"
~"394,1499,797,1,-2496,-7744,-32528,209,0\n"
~"395,1501,799,1,-2592,-7648,-32528,49,0\n"
~"396,1503,801,1,-2576,-7632,-32528,81,0\n"
~"397,1505,803,1,-2512,-7424,-32528,145,0\n"
~"398,1507,805,1,-2432,-7984,-32528,241,0\n"
~"399,1509,807,1,-2864,-4736,-32528,49,0\n"
~"400,1511,809,1,-9728,15792,-32528,113,0\n"
~"401,1513,811,1,-9488,16128,-32528,177,0\n"
~"402,1515,813,1,-7744,17296,-32528,241,0\n"
~"403,1517,815,1,-7584,17328,-32528,49,0\n"
~"404,1519,817,1,-800,-5024,-32528,145,0\n"
~"405,1521,819,1,-832,-5040,-32528,209,0\n"
~"406,1523,821,1,-912,-4960,-32528,81,0\n"
~"407,1525,823,1,-928,-5104,-32528,81,0\n"
~"408,1527,825,1,-848,-5024,-32528,145,0\n"
~"409,1529,827,1,-928,-5088,-32528,209,0\n"
~"410,1531,829,1,-784,-5072,-32528,17,0\n"
~"411,1533,831,1,-800,-4912,-32528,113,0\n"
~"412,1535,833,1,-672,-5104,-32528,177,0\n"
~"413,1537,835,1,-832,-4880,-32528,241,0\n"
~"414,1539,837,1,-816,-4944,-32528,49,0\n"
~"415,1541,839,1,-896,-5120,-32528,113,0\n"
~"416,1543,841,1,-592,-5088,-32528,177,0\n"
~"417,1545,843,1,-784,-5152,-32528,17,0\n"
~"418,1547,845,1,-816,-4960,-32528,81,0\n"
~"419,1550,848,1,-960,-5024,-32528,177,0\n"
~"420,1552,850,1,-688,-4992,-32528,241,0\n"
~"421,1554,852,1,-832,-5024,-32528,49,0\n"
~"422,1556,854,1,-656,-5104,-32528,113,0\n"
~"423,1558,856,1,-768,-5088,-32528,177,0\n"
~"424,1560,858,1,640,-6704,-32528,241,0\n"
~"425,1562,860,1,4160,-4512,-32528,49,0\n"
~"426,1564,862,1,24784,11776,-32528,113,0\n"
~"427,1566,864,1,22464,15280,-32528,177,0\n"
~"428,1568,866,1,22320,15648,-32528,241,0\n"
~"429,1570,868,1,22384,15488,-32528,81,0\n"
~"430,1572,870,1,19152,14992,-32528,145,0\n"
~"431,1574,872,1,-3296,-7024,-32528,17,0\n"
~"432,1576,874,1,-3360,-6816,-32528,49,0\n"
~"433,1578,876,1,-3408,-6736,-32528,81,0\n"
~"434,1580,878,1,-3408,-6848,-32528,145,0\n"
~"435,1582,880,1,-3376,-6768,-32528,241,0\n"
~"436,1584,882,1,-3216,-6800,-32528,49,0\n"
~"437,1586,884,1,-3360,-6912,-32528,113,0\n"
~"438,1588,886,1,-3488,-6768,-32528,177,0\n"
~"439,1590,888,1,-3232,-6640,-32528,241,0\n"
~"440,1592,890,1,-3328,-6880,-32528,49,0\n"
~"441,1594,892,1,-3312,-6800,-32528,145,0\n"
~"442,1596,894,1,-3360,-6816,-32528,241,0\n"
~"443,1598,896,1,-3280,-6864,-32528,49,0\n"
~"444,1600,898,1,-3200,-6688,-32528,113,0\n"
~"445,1602,900,1,-3456,-6752,-32528,177,0\n"
~"446,1604,902,1,-3376,-6928,-32528,241,0\n"
~"447,1606,904,1,13680,6112,-32528,49,0\n"
~"448,1608,906,1,23440,14224,-32528,113,0\n"
~"449,1610,908,1,23472,14496,-32528,177,0\n"
~"450,1612,910,1,23408,14352,-32528,241,0\n"
~"451,1614,912,1,23152,14032,-32528,49,0\n"
~"452,1616,914,1,-1344,-7120,-32528,113,0\n"
~"453,1618,916,1,-1536,-7472,-32528,177,0\n"
~"454,1620,918,1,-1632,-7344,-32528,241,0\n"
~"455,1622,920,1,-1504,-7312,-32528,49,0\n"
~"456,1624,922,1,-1664,-7296,-32528,177,0\n"
~"457,1626,924,1,-1648,-7328,-32528,209,0\n"
~"458,1628,926,1,-1568,-7248,-32528,241,0\n"
~"459,1630,928,1,-1664,-7264,-32528,49,0\n"
~"460,1632,930,1,-1616,-7120,-32528,113,0\n"
~"461,1634,932,1,-1744,-7136,-32528,177,0\n"
~"462,1636,934,1,-1552,-7120,-32528,17,0\n"
~"463,1638,936,1,-1632,-7328,-32528,81,0\n"
~"464,1640,938,1,-1584,-7024,-32528,145,0\n"
~"465,1642,940,1,-1536,-7216,-32528,209,0\n"
~"466,1644,942,1,-544,-7632,-32528,17,0\n"
~"467,1646,944,1,11760,-14352,-32528,81,0\n"
~"468,1648,946,1,19920,-21328,-32528,145,0\n"
~"469,1651,949,1,19808,-21296,-32528,49,0\n"
~"470,1653,951,1,19856,-21376,-32528,81,0\n"
~"471,1655,953,1,19728,-21360,-32528,145,0\n"
