=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"221,1021,447,1,-11040,-7504,-32448,0x0,49,0\n"
~"222,1023,449,1,-11120,-7328,-32400,0x0,81,0\n"
~"223,1025,451,1,-11120,-7552,-32400,0x0,145,0\n"
~"224,1027,453,1,-10992,-7520,-32400,0x0,209,0\n"
~"225,1029,455,1,-11120,-7328,-32400,0x0,241,0\n"
~"226,1031,457,1,-11072,-7280,-32400,0x0,49,0\n"
~"227,1033,459,1,-11120,-7440,-32400,0x0,113,0\n"
~"228,1035,461,1,-10992,-7280,-32400,0x0,145,0\n"
~"229,1037,463,1,-11008,-7376,-32400,0x0,81,0\n"
~"230,1039,465,1,-11088,-7296,-32400,0x0,241,0\n"
~"231,1041,467,1,-26336,-31008,-32400,0x0,17,0\n"
~"232,1043,469,1,-24704,-28672,-32400,0x0,81,0\n"
~"233,1045,471,1,-12768,-10816,-32400,0x0,145,0\n"
~"234,1047,473,1,-12704,-10880,-32448,0x0,177,0\n"
~"235,1049,475,1,-12848,-10752,-32400,0x0,241,0\n"
~"236,1051,477,1,-12864,-10928,-32448,0x0,81,0\n"
~"237,1053,479,1,-12832,-10864,-32400,0x0,81,0\n"
~"238,1055,481,1,-12784,-10992,-32400,0x0,145,0\n"
~"239,1057,483,1,-12912,-11024,-32400,0x0,209,0\n"
~"240,1059,485,1,-12720,-11072,-32400,0x0,17,0\n"
~"241,1061,487,1,-12880,-10928,-32400,0x0,81,0\n"
~"242,1063,489,1,-12720,-10960,-32400,0x0,145,0\n"
~"243,1065,491,1,-12752,-11120,-32400,0x0,177,0\n"
~"244,1067,493,1,-12800,-10912,-32400,0x0,209,0\n"
~"245,1069,495,1,-13696,-15600,-32448,0x0,17,0\n"
~"246,1071,497,1,-19568,-32336,-32400,0x0,81,0\n"
~"247,1073,499,1,-14208,-17072,-32400,0x0,113,0\n"
~"248,1075,501,1,-12576,-12496,-32400,0x0,177,0\n"
~"249,1077,503,1,-12480,-12512,-32400,0x0,241,0\n"
~"250,1079,505,1,-12496,-12672,-32400,0x0,49,0\n"
~"251,1081,507,1,-12624,-12416,-32400,0x0,81,0\n"
~"252,1083,509,1,-12624,-12368,-32400,0x0,145,0\n"
~"253,1085,511,1,-12432,-12640,-32400,0x0,209,0\n"
~"254,1088,514,1,-12384,-12624,-32400,0x0,209,0\n"
~"255,1090,516,1,-12464,-12560,-32400,0x0,145,0\n"
