=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"212,997,429,4,8064,7952,-32592,0x3,81,0\n"
~"213,999,431,4,9760,6928,-32592,0x3,145,0\n"
~"214,1001,433,4,11136,5504,-32560,0x3,209,0\n"
~"215,1003,435,4,11840,4544,-32560,0x3,241,0\n"
~"216,1005,437,4,12336,3392,-32592,0x3,49,0\n"
~"217,1007,439,4,12816,2176,-32560,0x3,113,0\n"
~"218,1009,441,4,13200,-320,-32592,0x3,177,0\n"
~"219,1011,443,4,13024,-3152,-32592,0x3,113,0\n"
~"220,1013,445,4,12256,-6704,-32592,0x3,49,0\n"
~"221,1015,447,4,11536,-8288,-32560,0x3,113,0\n"
~"222,1017,449,4,10448,-9792,-32592,0x3,145,0\n"
~"223,1019,451,4,9520,-10768,-32592,0x3,209,0\n"
~"224,1021,453,4,8384,-11728,-32592,0x3,17,0\n"
~"225,1023,455,4,6288,-12912,-32592,0x3,81,0\n"
~"226,1025,457,4,3680,-13776,-32592,0x3,145,0\n"
~"227,1027,459,4,256,-14048,-32560,0x3,177,0\n"
~"228,1029,461,4,-3792,-13056,-32592,0x3,241,0\n"
~"229,1031,463,4,-6240,-11744,-32592,0x3,49,0\n"
~"230,1033,465,4,-7744,-10016,-32592,0x3,113,0\n"
~"231,1035,467,4,-9504,-7344,-32592,0x3,177,0\n"
~"232,1037,469,4,-10512,-4320,-32592,0x3,241,0\n"
~"233,1039,471,4,-10640,-1952,-32592,0x3,49,0\n"
~"234,1041,473,4,-10448,-304,-32592,0x3,81,0\n"
~"235,1043,475,4,-9984,1232,-32560,0x3,145,0\n"
~"236,1045,477,4,-9376,2512,-32592,0x3,209,0\n"
~"237,1047,479,4,-8336,4144,-32592,0x3,17,0\n"
~"238,1049,481,4,-6096,6256,-32592,0x3,81,0\n"
~"239,1051,483,4,-3456,8112,-32592,0x3,145,0\n"
~"240,1053,485,4,-2032,8592,-32592,0x3,177,0\n"
~"241,1055,487,4,-944,8864,-32592,0x3,241,0\n"
~"242,1057,489,4,128,9072,-32592,0x3,49,0\n"
~"243,1059,491,4,1600,9200,-32592,0x3,113,0\n"
~"244,1061,493,4,4256,9072,-32592,0x3,49,0\n"
~"245,1063,495,4,6736,8560,-32592,0x3,241,0\n"
~"246,1065,497,4,8416,7680,-32592,0x3,49,0\n"
~"247,1067,499,4,9984,6800,-32592,0x3,113,0\n"
~"248,1069,501,4,11024,5792,-32592,0x3,177,0\n"
~"249,1071,503,4,12560,3264,-32592,0x3,209,0\n"
~"250,1073,505,4,13488,64,-32592,0x3,17,0\n"
~"251,1075,507,4,13504,-1632,-32592,0x3,81,0\n"
~"252,1077,509,4,13440,-2960,-32560,0x3,145,0\n"
~"253,1079,511,4,12944,-5312,-32592,0x3,209,0\n"
~"254,1081,513,4,11680,-8048,-32592,0x3,241,0\n"
~"255,1083,515,4,10576,-9520,-32592,0x3,49,0\n"
~"256,1085,517,4,10272,-9888,-32592,0x3,113,0\n"
~"257,1088,520,4,9280,-10688,-32592,0x3,241,0\n"
~"258,1090,522,4,8336,-11312,-32592,0x3,17,0\n"
~"259,1092,524,4,6880,-12112,-32592,0x3,81,0\n"
~"260,1094,526,4,2688,-13504,-32592,0x3,145,0\n"
~"261,1096,528,4,-1456,-13696,-32592,0x3,209,0\n"
~"262,1098,530,4,-3744,-13184,-32592,0x3,17,0\n"
~"263,1100,532,4,-5984,-12240,-32592,0x3,81,0\n"
~"264,1102,534,4,-7888,-10640,-32592,0x3,145,0\n"
~"265,1104,536,4,-10080,-6048,-32560,0x3,209,0\n"
~"266,1106,538,4,-10528,-2480,-32592,0x3,17,0\n"
~"267,1108,540,4,-10096,-128,-32592,0x3,81,0\n"
~"268,1110,542,4,-9520,2000,-32592,0x3,145,0\n"
~"269,1112,544,4,-9424,2176,-32592,0x3,81,0\n"
~"270,1114,546,4,-8624,3424,-32592,0x3,241,0\n"
~"271,1116,548,4,-7600,4720,-32592,0x3,17,0\n"
~"272,1118,550,4,-6432,5920,-32592,0x3,81,0\n"
