=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"240,888,486,3,22416,12960,-32560,0x1,177,0\n"
~"241,890,488,3,23696,11456,-32560,0x1,17,0\n"
~"242,892,490,3,24976,9328,-32560,0x1,145,0\n"
~"243,894,492,3,25632,7360,-32592,0x1,177,0\n"
~"244,896,494,3,26768,3904,-32592,0x1,17,0\n"
~"245,898,496,3,27088,2336,-32560,0x1,81,0\n"
~"246,900,498,3,27136,-528,-32592,0x1,145,0\n"
~"247,902,500,3,26880,-4336,-32560,0x1,209,0\n"
~"248,904,502,3,26640,-7456,-32560,0x1,49,0\n"
~"249,906,504,3,25888,-10416,-32560,0x1,81,0\n"
~"250,908,506,3,24736,-14464,-32560,0x1,145,0\n"
~"251,910,508,3,23680,-16288,-32592,0x1,209,0\n"
~"252,912,510,3,22624,-18368,-32560,0x1,17,0\n"
~"253,914,512,3,19968,-21456,-32592,0x1,81,0\n"
~"254,916,514,3,17568,-23568,-32592,0x1,145,0\n"
~"255,918,516,3,17584,-23856,-32560,0x1,209,0\n"
~"256,920,518,3,15600,-24944,-32592,0x1,17,0\n"
~"257,922,520,3,10240,-28320,-32560,0x1,81,0\n"
~"258,924,522,3,7024,-29408,-32592,0x1,145,0\n"
~"259,926,524,3,3744,-30032,-32592,0x1,241,0\n"
~"260,928,526,3,-1024,-30256,-32560,0x1,17,0\n"
~"261,930,528,3,-7872,-28608,-32592,0x1,81,0\n"
~"262,932,530,3,-14096,-24752,-32560,0x1,145,0\n"
~"263,934,532,3,-19184,-19376,-32560,0x1,209,0\n"
~"264,936,534,3,-21520,-15296,-32592,0x1,17,0\n"
~"265,938,536,3,-21936,-12528,-32592,0x1,113,0\n"
~"266,940,538,3,-22688,-9728,-32592,0x1,209,0\n"
~"267,943,541,3,-22928,-7408,-32560,0x1,145,0\n"
~"268,945,543,3,-22256,-2416,-32560,0x1,145,0\n"
~"269,947,545,3,-21776,704,-32560,0x1,209,0\n"
~"270,949,547,3,-20768,5088,-32592,0x1,17,0\n"
~"271,951,549,3,-19120,7824,-32592,0x1,113,0\n"
~"272,953,551,3,-15024,12816,-32592,0x1,145,0\n"
~"273,955,553,3,-11344,15488,-32592,0x1,209,0\n"
~"274,957,555,3,-8224,17088,-32560,0x1,17,0\n"
~"275,959,557,3,-6144,18256,-32560,0x1,81,0\n"
~"276,961,559,3,-2320,19472,-32560,0x1,145,0\n"
~"277,963,561,3,-32,19664,-32592,0x1,209,0\n"
~"278,965,563,3,2352,19984,-32592,0x1,17,0\n"
~"279,967,565,3,8368,19616,-32592,0x1,81,0\n"
~"280,969,567,3,15360,17824,-32560,0x1,145,0\n"
~"281,971,569,3,18880,16080,-32592,0x1,209,0\n"
~"282,973,571,3,21248,14240,-32560,0x1,17,0\n"
~"283,975,573,3,22928,12400,-32592,0x1,81,0\n"
~"284,977,575,3,25328,8384,-32592,0x1,145,0\n"
~"285,979,577,3,26736,2848,-32560,0x1,209,0\n"
~"286,981,579,3,26864,-2800,-32560,0x1,17,0\n"
~"287,983,581,3,26096,-9104,-32560,0x1,81,0\n"
~"288,985,583,3,24944,-13696,-32592,0x1,177,0\n"
~"289,987,585,3,23104,-17248,-32560,0x1,17,0\n"
~"290,989,587,3,20384,-21072,-32592,0x1,113,0\n"
~"291,991,589,3,18384,-23104,-32592,0x1,209,0\n"
~"292,993,591,3,15760,-24816,-32592,0x1,81,0\n"
~"293,995,593,3,11744,-27424,-32592,0x1,113,0\n"
~"294,997,595,3,8176,-29104,-32592,0x1,209,0\n"
~"295,999,597,3,3264,-30208,-32592,0x1,49,0\n"
~"296,1001,599,3,-1408,-30224,-32592,0x1,177,0\n"
~"297,1003,601,3,-6288,-29232,-32592,0x1,209,0\n"
~"298,1005,603,3,-9408,-28192,-32560,0x1,49,0\n"
~"299,1007,605,3,-13664,-25920,-32592,0x1,145,0\n"
~"300,1009,607,3,-15088,-24400,-32560,0x1,241,0\n"
~"301,1011,609,3,-17536,-21728,-32560,0x1,81,0\n"
~"302,1013,611,3,-19248,-19472,-32592,0x1,177,0\n"
~"303,1015,613,3,-20784,-16896,-32592,0x1,17,0\n"
~"304,1017,615,3,-21472,-14496,-32560,0x1,113,0\n"
~"305,1019,617,3,-22256,-12048,-32592,0x1,177,0\n"
~"306,1021,619,3,-22672,-9552,-32592,0x1,241,0\n"
~"307,1023,621,3,-22832,-5536,-32560,0x1,49,0\n"
~"308,1025,623,3,-21776,64,-32560,0x1,113,0\n"
~"309,1027,625,3,-20080,6528,-32592,0x1,177,0\n"
~"310,1029,627,3,-18080,9248,-32592,0x1,17,0\n"
~"311,1031,629,3,-16080,11824,-32560,0x1,49,0\n"
~"312,1033,631,3,-14688,13104,-32592,0x1,145,0\n"
~"313,1035,633,3,-13200,14448,-32592,0x1,209,0\n"
~"314,1037,635,3,-10832,15904,-32560,0x1,17,0\n"
~"315,1039,637,3,-8208,17248,-32560,0x1,81,0\n"
~"316,1041,639,3,-6480,18064,-32592,0x1,145,0\n"
~"317,1044,642,3,-2112,19296,-32592,0x1,81,0\n"
~"318,1046,644,3,1312,19856,-32560,0x1,49,0\n"
~"319,1048,646,3,7088,19904,-32560,0x1,113,0\n"
~"320,1050,648,3,13952,18512,-32592,0x1,177,0\n"
~"321,1052,650,3,16160,17520,-32592,0x1,241,0\n"
~"322,1054,652,3,19744,15216,-32560,0x1,81,0\n"
~"323,1056,654,3,21168,14032,-32560,0x1,113,0\n"
~"324,1058,656,3,21920,13456,-32560,0x1,177,0\n"
~"325,1060,658,3,24000,10960,-32592,0x1,241,0\n"
~"326,1062,660,3,25456,7824,-32592,0x1,49,0\n"
~"327,1064,662,3,26816,2688,-32592,0x1,113,0\n"
~"328,1066,664,3,27184,-1744,-32560,0x1,177,0\n"
~"329,1068,666,3,26480,-7504,-32560,0x1,241,0\n"
~"330,1070,668,3,25488,-12096,-32592,0x1,49,0\n"
~"331,1072,670,3,24368,-15328,-32560,0x1,113,0\n"
~"332,1074,672,3,23696,-16496,-32592,0x1,177,0\n"
~"333,1076,674,3,22304,-18624,-32592,0x1,17,0\n"
~"334,1078,676,3,20800,-20624,-32592,0x1,49,0\n"
~"335,1080,678,3,19072,-22368,-32560,0x1,113,0\n"
~"336,1082,680,3,16832,-24256,-32560,0x1,177,0\n"
~"337,1084,682,3,16144,-24560,-32592,0x1,241,0\n"
~"338,1086,684,3,16032,-24704,-32560,0x1,49,0\n"
~"339,1088,686,3,11552,-27520,-32560,0x1,113,0\n"
~"340,1090,688,3,8976,-28208,-32560,0x1,177,0\n"
~"341,1092,690,3,3184,-29584,-32592,0x1,241,0\n"
~"342,1094,692,3,-4624,-29264,-32560,0x1,113,0\n"
~"343,1096,694,3,-10400,-27088,-32592,0x1,113,0\n"
~"344,1098,696,3,-14128,-24624,-32560,0x1,177,0\n"
~"345,1100,698,3,-17264,-20752,-32560,0x1,241,0\n"
~"346,1102,700,3,-20400,-15712,-32560,0x1,49,0\n"
~"347,1104,702,3,-21680,-10464,-32592,0x1,145,0\n"
~"348,1106,704,3,-22048,-5712,-32560,0x1,177,0\n"
~"349,1108,706,3,-21216,352,-32592,0x1,241,0\n"
~"350,1110,708,3,-20064,5552,-32560,0x1,49,0\n"
~"351,1112,710,3,-17488,9888,-32592,0x1,113,0\n"
~"352,1114,712,3,-12864,14448,-32560,0x1,177,0\n"
~"353,1116,714,3,-8672,16976,-32560,0x1,241,0\n"
