Timestamp(ms),Current(uA)
11140,6893.339
11150,6921.849
11160,6955.656
11170,6910.245
11180,9496.054
11190,12368.423
11200,14189.304
11210,14589.854
11220,14230.048
11230,13445.492
11240,13015.068
11250,12480.486
11260,11731.805
11270,10776.644
11280,9910.224
11290,9107.534
11300,8435.461
11310,7884.848
11320,7514.834
11330,7316.421
11340,7085.682
11350,7056.050
11360,6975.066
11370,6938.546
11380,6963.833
11390,6948.551
11400,7046.851
11410,7030.948
11420,6985.209
11430,6991.416
11440,6989.465
11450,7010.847
11460,7030.578
11470,7067.432
11480,7015.098
11490,7025.403
11500,7035.279
11510,7029.103
11520,7018.660
11530,7020.127
11540,7034.587
11550,7025.737
11560,7016.931
11570,6987.225
11580,7016.311
11590,6993.474
11600,7042.228
11610,6971.581
11620,7043.059
11630,7053.778
11640,6994.670
11650,6994.205
11660,7111.796
11670,7056.652
11680,7019.000
11690,9002.571
11700,12406.803
11710,14114.495
11720,14668.537
11730,14245.594
11740,13694.670
11750,13133.560
11760,12581.064
11770,11771.980
11780,10863.185
11790,10071.474
11800,9294.847
11810,8590.461
11820,8067.980
11830,7652.988
11840,7391.485
11850,7213.453
11860,7172.352
11870,7027.338
11880,7006.126
11890,6989.785
11900,6944.436
11910,6971.624
11920,7007.091
11930,6960.153
11940,6965.631
11950,6981.135
11960,7042.912
11970,7011.491
11980,6973.546
11990,6968.875
12000,6919.227
12010,6935.438
12020,6975.981
12030,7023.976
12040,6978.188
12050,6965.437
12060,6980.199
12070,6981.563
12080,6941.002
12090,6979.810
12100,6955.725
12110,6938.435
12120,6925.299
12130,6966.018
12140,6951.136
12150,7044.402
12160,7027.630
12170,6951.706
12180,6909.256
12190,6992.407
12200,6990.289
12210,6992.694
12220,7041.196
12230,7019.062
12240,6978.993
12250,6937.949
12260,6953.733
12270,6933.395
12280,7002.367
12290,6913.808
12300,6958.455
12310,6973.956
12320,6986.444
12330,6976.831
12340,7078.621
12350,11401.994
12360,13377.483
12370,14826.824
12380,14444.176
12390,13969.219
12400,13282.979
12410,12807.992
12420,12230.290
12430,11349.159
12440,10442.757
12450,9668.087
12460,8937.604
12470,8340.544
12480,7820.603
12490,7524.171
12500,7333.917
12510,7235.786
12520,7139.505
12530,7078.922
12540,7074.037
12550,7053.442
12560,7048.778
12570,7052.141
12580,7037.856
12590,7053.060
12600,7036.608
12610,7049.166
12620,7062.296
12630,7124.693
12640,7087.559
12650,7065.695
12660,7060.244
12670,7015.274
12680,6971.096
12690,6999.489
12700,6997.129
12710,7015.759
12720,7023.305
12730,7071.781
12740,7025.137
12750,7138.706
12760,7029.449
12770,7018.091
12780,7089.352
12790,7006.390
12800,7125.286
12810,7046.648
12820,7006.453
12830,7005.745
12840,7012.168
12850,6999.821
12860,7033.764
12870,7010.290
12880,7003.322
12890,6991.026
12900,7020.879
12910,6976.681
